 movie_id |  budget   |   gross    
----------+-----------+------------
        1 |           |   38316584
        2 |           |    6950125
        3 |           |    7889694
        4 |           |     519596
        5 |   8000000 |    3033646
        6 |           |      15726
        7 |           |      63137
        8 |           |     824024
        9 |           |      22039
       10 |           |      20554
       11 |           |      52431
       12 |           |     198126
       13 |           |     970676
       14 |           |           
       15 |           |   21897373
       16 | 128000000 |  250397798
       17 |           |    6193901
       18 |           |    1348771
       19 |           |    6698361
       20 |           |    4654288
       21 |           |   17180393
       22 |   6000000 |    5093707
       23 |  20000000 |   85749034
       24 |  30000000 |   59284015
       25 |           |           
       26 |           |           
       27 |           |      10923
       28 |           |     259510
       29 |           |    7736632
       30 |           |     562878
       31 |  32000000 |   94539426
       32 |           |   19465835
       33 |   4000000 |     143485
       34 |           |    1262091
       35 |   5300000 |    2554476
       36 |   1000000 |    2038916
       37 |  13000000 |     428868
       38 |  10000000 |    1261210
       39 |           |     307308
       40 |  12500000 |    1227324
       41 |           |      21521
       42 |           |     914565
       43 |           |   17987034
       44 |           |      60822
       45 |   1000000 |      95000
       46 |           |   55990299
       47 |   1500000 |     208550
       48 |           |    3843774
       49 |    800000 |     156190
       50 |   3000000 |   15935068
       51 |  26000000 |   90709367
       52 |  72500000 |  163362095
       53 |  65000000 |  128108211
       54 | 100000000 |  170458922
       55 |  50000000 |  173649931
       56 |  28000000 |  133440870
       57 |  60000000 |   76073488
       58 |   9000000 |    3662459
       59 |           |    7924955
       60 |  34000000 |    4217115
       61 |           |      14410
       62 |  10000000 |  167885588
       63 |   9000000 |  155712077
       64 |  35000000 |   94728529
       65 |  11800000 |   47494916
       66 |  33000000 |  164729679
       67 |  56000000 |  198636868
       68 |  60000000 |  130154568
       69 |  75000000 |  203553311
       70 |  80000000 |  212874864
       71 |  75000000 |   59418613
       72 |  20000000 |   72216294
       73 |   2000000 |    1627955
       74 |    850000 |    1753979
       75 |   1000000 |   26895481
       76 |   5000000 |    2700051
       77 |   5000000 |   45173154
       78 |  90000000 |  426505244
       79 |  50000000 |   91490353
       80 |   4000000 |   92921203
       81 |  17000000 |    6735922
