Which directors have directed in more than 2 movies?
SELECT C.member_id, C.first, C.last FROM casts C natural join directed D1 inner join directed D2 on D1.member_id = D2.member_id where D1.movie_id != D2.movie_id GROUP BY C.member_id;
 member_id |        first        |       last       
-----------+---------------------+------------------
      1489 | Jonathan            | Liebesman
       273 | Bille               | August
       951 | Gavin               | O'Connor
      2614 | Stephen             | Gaghan
      2466 | RyÃ»hei             | Kitamura
      2196 | Peter Ho-Sun        | Chan
       576 | Daniel              | Barnz
      1331 | Joachim             | RÃ¸nning
      2784 | Tom                 | Ford
       663 | David               | Price
      1552 | Justin              | Benson
      1589 | Ken                 | Loach
      2204 | Peter               | Lord
       173 | Anton               | Corbijn
      2276 | Randa               | Haines
       876 | Francis             | Lawrence
       113 | Andrew              | Adamson
      1422 | John                | Landis
      1004 | GorÃ´               | Miyazaki
      2702 | Takashi             | Miike
      2404 | Robert              | Townsend
      1313 | Jim Field           | Smith
      2721 | Terence             | Davies
       824 | Eric                | Till
      1262 | Jeff                | Pollack
      2366 | Robert              | Butler
      1287 | Jeremy              | Saulnier
       366 | Burr                | Steers
       307 | Bong Joon           | Ho
       743 | Don                 | Coscarelli
      1940 | Michael             | Polish
      2636 | Steve               | Buscemi
      2544 | Seth                | MacFarlane
        50 | Alan J.             | Pakula
      1319 | Jim                 | McBride
         2 | Ã‰douard            | Molinaro
      1942 | Michael             | Radford
      2857 | Vincent             | Gallo
      2140 | Paul                | Feig
       453 | Chris               | Miller
       182 | Ari                 | Folman
      1950 | Michael             | Sucsy
      1613 | Kevin               | Lima
       481 | Christopher         | Cain
      1804 | Mark                | Joffe
      2579 | Simon               | Wells
      1167 | James               | Dearden
       682 | David               | Wain
       329 | Brian               | Gibson
        44 | Alain               | Corneau
      1144 | Jackie              | Chan
      2150 | Paul                | Lynch
      2598 | Stanley             | Tong
      2391 | Robert              | Luketic
      1987 | Mike                | Nichols
      1022 | Gregor              | Jordan
       948 | Gaspar              | NoÃ©
      1540 | Julian              | Schnabel
      2828 | Tony                | Scott
      2149 | Paul                | King
       255 | Bibo                | Bergeron
      2538 | Sebastian           | Gutierrez
      1748 | Mabrouk El          | Mechri
       947 | Gary                | Winick
       761 | Doug                | Ellin
      2864 | Volker              | SchlÃ¶ndorff
      2130 | Paul                | Aaron
       904 | Fred                | Wolf
       524 | Colin               | Higgins
       312 | Brad                | Furman
       862 | Florian Henckel von | Donnersmarck
      1185 | James               | Lapine
       494 | Christopher         | Smith
       488 | Christopher         | McQuarrie
      2255 | Quentin             | Tarantino
      1101 | Hugh                | Hudson
      1048 | Hal                 | Needham
       360 | Bryan               | Singer
        99 | Allison             | Anders
       629 | David               | Green
      2736 | Thom                | Eberhardt
       442 | Chris               | Buck
      2866 | W.D.                | Richter
        12 | Abbas               | Kiarostami
      1503 | Jordan              | Vogt-Roberts
       899 | Fred                | Dekker
       384 | Carl                | Franklin
      2535 | Sean S.             | Cunningham
       826 | Ericson             | Core
      2737 | Thomas              | Bezucha
      2297 | Richard             | Benjamin
      1615 | Kevin               | Munroe
      1397 | John                | Flynn
      2126 | Patrick Read        | Johnson
      1579 | Keith               | Gordon
       768 | Douglas             | McGrath
      2243 | Phyllida            | Lloyd
      2089 | Olivier             | Megaton
       188 | Armando             | Iannucci
       240 | Benny               | Safdie
      1467 | Jon                 | Hurwitz
       703 | Dennie              | Gordon
       226 | Baz                 | Luhrmann
      2428 | Roger               | Kumble
      2153 | Paul Michael        | Glaser
       204 | Atom                | Egoyan
      1021 | Gregg               | Champion
      1429 | John                | Maybury
       361 | Bryan               | Spicer
      2227 | Phil Alden          | Robinson
      2865 | Vondie              | Curtis-Hall
       537 | Courtney            | Solomon
      1401 | John G.             | Avildsen
       343 | Bruce               | Beresford
      2534 | Sean                | Penn
      2695 | Sylvain             | White
      2078 | Norman              | RenÃ©
       722 | Dexter              | Fletcher
      2474 | S.S.                | Rajamouli
      2010 | Nancy               | Meyers
      1142 | Jack                | Sholder
       740 | Dominic             | Sena
      2166 | Pedro               | AlmodÃ³var
        78 | Alex                | Proyas
      1451 | John                | Singleton
      2881 | Wes                 | Ball
       852 | Felix van           | Groeningen
      2354 | Rob                 | Reiner
      1246 | Jean-Marie          | PoirÃ©
      1693 | Leos                | Carax
       713 | Derek               | Cianfrance
       863 | Floyd               | Mutrux
      1886 | Menahem             | Golan
       289 | Bob                 | Balaban
      1400 | John                | Frankenheimer
      1462 | John                | Woo
       527 | Colin               | Trevorrow
       376 | CÃ©line             | Sciamma
      2067 | Nitesh              | Tiwari
      2711 | Tate                | Taylor
      1941 | Michael             | Pressman
      2278 | Randall             | Miller
       832 | Ethan               | Coen
      1001 | Glenn Gordon        | Caron
      1469 | Jon M.              | Chu
      2242 | Phillip             | Noyce
      2024 | Neil                | Jordan
      1297 | Jerry               | Zucker
      1293 | Jerry               | Paris
      2312 | Richard             | LaGravenese
      2133 | Paul                | Bartel
       158 | Anne                | Fletcher
      2943 | Zack                | Snyder
      1588 | Ken                 | Kwapis
      2305 | Richard             | Franklin
      1180 | James               | Ivory
      2375 | Robert              | Eggers
      2163 | Paul                | Weiland
      1667 | Lars von            | Trier
      2852 | Victor              | Nunez
       614 | David               | Bowers
      1607 | Kevin               | Costner
       966 | George              | Armitage
      1055 | Harald              | Zwart
      1752 | Makoto              | Shinkai
       846 | Farah               | Khan
      1580 | Kelly               | Asbury
      1554 | Justin              | Chon
      2431 | Roger               | Spottiswoode
      2606 | Stephen             | Chbosky
      1799 | Mark                | Griffiths
      2075 | Nora                | Ephron
      2055 | Nicole              | Holofcener
      1905 | Michael             | Cristofer
      2841 | Tyler               | Perry
      2215 | Peter               | Segal
