Find the actors who have not worked in any movie between 1999 and 2012(including the start year and end year)?
select distinct member_id, first, last from starred_in natural join casts where member_id not in ( select C.member_id from casts C natural join starred_in natural join movies m where m.year between 1999 and 2012) ;
 member_id |        first        |      last      
-----------+---------------------+----------------
      8118 | Orson               | Welles
      7154 | Johnny              | Yune
      6255 | Kris                | Kristofferson
      6903 | Blake               | Heron
      8060 | Christopher         | Eccleston
      7102 | Bette               | Midler
      7023 | Corey               | Haim
      8124 | Peter               | Greene
      8334 | Susan               | Dey
      7647 | Ralph               | Macchio
      7851 | GÃ©za               | RÃ¶hrig
      7170 | Billy               | Zane
      7897 |                     | Miou-Miou
      7309 | Dennis              | Miller
      6935 | Jennifer Love       | Hewitt
      6360 | Jennifer            | Rubin
      8392 | Miho                | Nikaido
      8467 | Mary Beth           | Hurt
      7290 | Matt                | Lattanzi
      7532 | Anthony             | Edwards
      8425 | Aaron               | Paul
      6737 | Daveed              | Diggs
      8183 | Tab                 | Hunter
      7060 | Laurence            | Olivier
      7087 | Mansour             | Diouf
      8547 | Mikhail             | Baryshnikov
      8077 | Elizabeth           | Reaser
      6729 | Ben                 | Cross
      6624 | Leslie              | Nielsen
      8552 | Avtandil            | Makharadze
      8671 | Ka-Yan              | Leung
      8229 | Marianne            | SÃ¤gebrecht
      7812 | Amanda              | Donohoe
      8610 | Ming-Na             | Wen
      7465 | Lance               | Henriksen
      8246 | Melanie             | Lynskey
      7202 | Graham              | Verchere
      7626 | Terry               | Kiser
      6576 | Emma                | Watson
      6405 | Jim                 | Belushi
      2667 | Steven              | Soderbergh
      7586 | Eili                | Harboe
      7390 | Danny               | Elfman
      7938 | Marie-Laure         | Dougnac
      8226 | Joanna              | Pacula
      7003 |                     | Sinbad
      8549 | Grant               | Bardsley
      7504 | Natalie             | Dormer
      7694 | Beau                | Knapp
      7416 | Peter               | Bland
      7815 | Lauren              | Tewes
      8688 | Sally               | Kirkland
      7437 | Claire              | Bloom
      8284 | Mews                | Small
      7050 | Don                 | Johnson
      7409 | Anna                | Chlumsky
      7804 | Jason               | Alexander
      6541 | Julian              | Barratt
      6960 | Jennifer            | O'Neill
      7295 | Will                | Friedle
      8643 | Fernanda            | Montenegro
      8440 | Shannon             | Presby
      8557 | Christoph           | Waltz
      7261 | Forrest             | Tucker
      8423 | Bella               | Thorne
      7711 | Sunny               | Suljic
      7702 | Barbara             | Hershey
      7492 | Holly               | Hunter
      6886 | C. Thomas           | Howell
      7331 | Nick                | Robinson
      7221 | Faye                | Dunaway
      7522 | Olivier             | Martinez
      6485 | Nick                | Nolte
      7483 | Robert              | Patrick
      8495 | Colin               | Woodell
      7111 | Brad                | Davis
      8051 |                     | Taimak
      7883 | Pauline             | Collins
      6892 | Carl                | Weathers
      6221 | Tatsuo              | Matsumura
      7162 | Mark                | Gregory
      6896 | Jassa               | Ahluwalia
      7985 | Tenzin Thuthob      | Tsarong
      7771 | Aaron               | Moorhead
      8227 | Diedrich            | Bader
      2111 | Pat                 | Healy
      8024 | Adam                | Scott
      7402 | ShÃ´tarÃ´           | Morikubo
      7002 | Tom                 | Guiry
      7315 | Sergio              | Castellitto
      8496 | Lenny von           | Dohlen
      4669 | James               | Marshall
      7210 | Thora               | Birch
      7601 | Levi                | Miller
      8181 | Wings               | Hauser
      8457 | Mahiro              | Takasugi
      8112 | Amy                 | Brenneman
      7011 | Terence             | Knox
      8269 | Imogen              | Stubbs
      6752 | John Gordon         | Sinclair
      6319 | Jackie              | Mason
      2762 | Tim                 | Roth
       495 | Chuck               | Barris
      6837 | Fionn               | Whitehead
      6733 | John                | Candy
      6217 | Lior                | Ashkenazi
      8257 | Ken                 | Marshall
      7708 | Aubrey              | Peeples
      8629 | Tania               | Raymonde
      6192 | Taylor              | Russell
      6355 | Charlotte           | Gainsbourg
      7761 | Patsy               | Kensit
      6823 | George              | Strait
      6420 | Nu YÃªn-KhÃª        | Tran
      7769 | Haley Lu            | Richardson
      7944 | Lorenzo             | Lamas
      2488 | Sam                 | Shepard
      6819 | Derek               | Jacobi
      7306 | Amandla             | Stenberg
      8130 | Catherine           | Deneuve
      8388 | Gregory             | Harrison
      7240 | Stefano             | Dionisi
      8567 | Louis               | Tripp
      7017 | Maika               | Monroe
      8314 | Whip                | Hubley
      8614 | Reese               | Mishler
      6212 | Solomon             | Perel
      6629 | Norm                | MacDonald
      7429 | Aaron               | Pedersen
      8386 | Brian               | Bonsall
      6155 | JoÃ«lle             | Miquel
      6484 | Dudley              | Moore
      8581 | Edith               | Meeks
      7226 | Jing                | Wu
      7125 | David               | Thewlis
      8385 | David               | Paul
      7251 | Michael             | McKean
      8132 | Julia               | Louis-Dreyfus
      8335 | Anya                | Taylor-Joy
      8206 | Vicky               | Krieps
      8477 | Douglas             | Smith
      6464 | Florence            | Pugh
      7248 | Josh                | Gad
      7438 | Sissy               | Spacek
      6788 | Victor              | Wong
      8058 | Margot              | Kidder
      7123 | Spencer             | Brown
      8621 | Tiffany             | Haddish
      6293 | Brenton             | Thwaites
      8019 | Daryl               | Hannah
      6843 | Heather             | Langenkamp
      6453 | Linus               | Roache
      8265 | Ronny               | Cox
      8095 | Naveen              | Andrews
      7426 | Miki                | Imai
      8597 | Thom                | Mathews
      7419 | Elizabeth           | Daily
      6976 | Vanessa             | Redgrave
      7962 | Jeff                | Speakman
      7357 | Robert              | Hays
      8252 | Gary                | Kemp
      7363 | Michael             | Gottli
      7700 | Jason               | Priestley
      2060 | Nikita              | Mikhalkov
      6763 | Margot              | Robbie
      8061 | Stephen             | Dillane
      6450 | Liza                | Soberano
      8076 | Karen               | Gillan
      6153 | Pascale             | Ogier
      8198 | Ron                 | Silver
      7369 | Bart                | Conner
      8445 | Lukas               | Schwarz
      7063 | Jackie              | Gleason
      6987 | Kenny               | Ireland
      8503 | Noah                | Schnapp
      6407 | Sharman             | Joshi
      7772 | Simone              | Baker
      6941 | Patrick             | Swayze
      7149 | Alexandra           | Daddario
      7428 | Peter               | O'Toole
      8109 | Ernie               | Reyes
      7206 | Josh                | O'Connor
      6911 | Rose                | Byrne
      7733 | Daniel              | Kaluuya
      8115 | David               | Harbour
      7211 | David N.            | Haynes
      7686 | David               | Rasche
      7792 | John                | Glover
      7612 | John                | Larroquette
      6164 | Tony                | Pierce
      6516 | Steve               | Guttenberg
      6425 | Brie                | Larson
      7376 | George C.           | Scott
      8127 | Oliver              | Reed
      7373 | Nick                | Sutton
      7307 | Y'lan               | Noel
      7046 | GÃ¼nes              | Sensoy
      8644 | Caylee              | Cowan
      7183 | Marcello            | Mastroianni
      8509 | Joe                 | Colligan
      7184 | Sergio              | Rubini
      7621 | Sarah               | Miles
      6099 | Charles             | Grodin
      7892 | Louise              | Smith
      8473 | Theresa             | Randle
      8308 | Ellar               | Coltrane
      8494 | Brad                | Dourif
      6978 | Pamela              | Anderson
      7245 | Kate                | Mara
      7005 | Mira                | Sorvino
      8016 | Clark               | Brandon
      8430 | Brooklynn           | Prince
      6860 | John Lloyd          | Young
      8378 | Karina              | Fontes
      7553 | Matt                | Henry
      7787 | Mitsuo              | Iwata
      7602 | John                | Getz
      8235 | Elizabeth           | Edmonds
      7057 | Noam                | Almaz
      7632 | Linda               | Fiorentino
      7089 | Billy               | Howle
      8682 | You                 | Ge
      7548 | Meredith            | Salenger
      7319 | Marsha              | Mason
      6980 | Wil                 | Wheaton
      7739 | Batsheva Dance      | Company
      8006 | Hume                | Cronyn
      6953 | Molly               | Ringwald
      8240 | Vivian              | Wu
      7673 | Kevin               | Gage
      7797 | Lisa                | Donaldson
      7756 | Jeffrey             | Wright
      6586 | Scott               | Beach
      2315 | Richard             | Linklater
      2519 | Scott               | Pryor
      7836 | Todd                | Allen
      7850 | Ezra                | Miller
      8693 | Nina                | Siemaszko
      7705 | Donald              | Glover
      7749 | Erin                | Darke
      6958 | Jason               | Drucker
      8025 | Kyle                | Chandler
      7450 | Akshay              | Kumar
      6764 | David               | Bradley
      7767 | Mi-ran              | Ra
      6856 | Emmanuelle          | BÃ©art
      7664 | Anthony             | Barrile
      7158 | Davor               | Dujmovic
      6595 | Sharon              | Leal
      8360 | Anthony             | Newley
      8135 | Mrunal              | Thakur
      6582 | Bill                | Paterson
      7048 | Michael             | Oliver
      7681 | Linda               | Griffiths
      8290 | Barry               | Otto
