Find the movies released before January 1st, 2000?
select M.name,M.year,R.date from movies M join released R on M.movie_id=R.movie_id where R.date<2000-01-01;
                                   name                                   | year |    date    
--------------------------------------------------------------------------+------+------------
 La Cage aux Folles II                                                    | 1980 | 1981-02-15
 Just the Way You Are                                                     | 1984 | 1984-11-16
 Man on Fire                                                              | 1987 | 1987-09-04
 Full Moon in Paris                                                       | 1984 | 1984-08-29
 Summer                                                                   | 1986 | 1986-08-29
 Boyfriends and Girlfriends                                               | 1987 | 1988-07-15
 Four Adventures of Reinette and Mirabelle                                | 1987 | 1989-07-19
 A Tale of Springtime                                                     | 1990 | 1990-04-04
 A Tale of Winter                                                         | 1992 | 1992-01-29
 The Day of the Beast                                                     | 1995 | 1998-12-23
 Braddock: Missing in Action III                                          | 1988 | 1988-01-22
 Platoon Leader                                                           | 1988 | 1988-10-01
 Delta Force 2: the Colombian Connection                                  | 1990 | 1990-08-24
 The Hitman                                                               | 1991 | 1991-10-25
 Sidekicks                                                                | 1992 | 1993-04-30
 Top Dog                                                                  | 1995 | 1995-04-28
 Close-Up                                                                 | 1990 | 1991-10-30
 Through the Olive Trees                                                  | 1994 | 1995-01-25
 Taste of Cherry                                                          | 1997 | 1997-11-26
 The Wind Will Carry Us                                                   | 1999 | 1999-11-24
 China Girl                                                               | 1987 | 1987-09-25
 King of New York                                                         | 1990 | 1991-01-05
 Bad Lieutenant                                                           | 1992 | 1992-12-17
 Body Snatchers                                                           | 1993 | 1994-02-18
 Dangerous Game                                                           | 1993 | 1993-11-19
 The Addiction                                                            | 1995 | 1995-10-06
 The Funeral                                                              | 1996 | 1996-11-01
 New Rose Hotel                                                           | 1998 | 1999-03-19
 It's Pat: the Movie                                                      | 1994 | 1994-11-25
 Almost You                                                               | 1984 | 1985-03-29
 Jason Goes to Hell: the Final Friday                                     | 1993 | 1993-08-13
 Cabin Boy                                                                | 1994 | 1994-01-07
 The Chase                                                                | 1994 | 1994-03-04
 Detroit Rock City                                                        | 1999 | 1999-08-13
 Brain Dead                                                               | 1990 | 1990-01-19
 Carnosaur                                                                | 1993 | 1993-05-21
 Flashdance                                                               | 1983 | 1983-04-15
 9Â½ Weeks                                                                | 1986 | 1986-02-21
 Fatal Attraction                                                         | 1987 | 1987-09-18
 Jacob's Ladder                                                           | 1990 | 1990-11-02
 Indecent Proposal                                                        | 1993 | 1993-04-07
 Lolita                                                                   | 1997 | 1998-09-25
 Europa Europa                                                            | 1990 | 1990-11-14
 The Secret Garden                                                        | 1993 | 1993-08-13
 Total Eclipse                                                            | 1995 | 1995-11-03
 Ran                                                                      | 1985 | 1985-06-01
 Dreams                                                                   | 1990 | 1990-08-24
 Rhapsody in August                                                       | 1991 | 1991-12-20
 Madadayo                                                                 | 1993 | 1993-04-17
 Tous les matins du monde                                                 | 1991 | 1991-12-18
 The Four Seasons                                                         | 1981 | 1981-05-22
 Sweet Liberty                                                            | 1986 | 1986-05-16
 A New Life                                                               | 1988 | 1988-03-25
 Betsy's Wedding                                                          | 1990 | 1990-06-22
 Rita, Sue and Bob Too                                                    | 1987 | 1987-05-29
 Dead Man on Campus                                                       | 1998 | 1998-08-21
 Rollover                                                                 | 1981 | 1981-12-11
 Sophie's Choice                                                          | 1982 | 1983-03-04
 Dream Lover                                                              | 1986 | 1986-04-02
 See You in the Morning                                                   | 1989 | 1989-04-21
 Presumed Innocent                                                        | 1990 | 1990-07-27
 Consenting Adults                                                        | 1992 | 1992-10-16
 The Pelican Brief                                                        | 1993 | 1993-12-17
 The Devil's Own                                                          | 1997 | 1997-03-26
 To Be or Not to Be                                                       | 1983 | 1983-12-16
 Solarbabies                                                              | 1986 | 1986-11-26
 Bloodsport 2                                                             | 1996 | 1996-03-01
 Girls Just Want to Have Fun                                              | 1985 | 1985-04-12
