List all the directors that have directed ‘Action’ movies.
SELECT first, last, title, name, genre FROM movies natural join directed natural join casts WHERE genre = Action;
        first        |       last       | title |                           name                           | genre  
---------------------+------------------+-------+----------------------------------------------------------+--------
 A.R.                | Murugadoss       |       | Ghajini                                                  | Action
 Ã‰lie               | Chouraqui        |       | Man on Fire                                              | Action
 Ã\u0081lex de la    | Iglesia          |       | The Day of the Beast                                     | Action
 Aaron               | Norris           |       | Braddock: Missing in Action III                          | Action
 Aaron               | Norris           |       | Delta Force 2: the Colombian Connection                  | Action
 Aaron               | Norris           |       | The Hitman                                               | Action
 Aaron               | Norris           |       | Sidekicks                                                | Action
 Aaron               | Norris           |       | Top Dog                                                  | Action
 Abhishek            | Chaubey          |       | Sonchiriya                                               | Action
 Adam                | Green            |       | Hatchet II                                               | Action
 Adam                | McKay            |       | The Other Guys                                           | Action
 Adam                | Rifkin           |       | The Chase                                                | Action
 Adam                | Robitel          |       | Escape Room                                              | Action
 Adam                | Shankman         |       | The Pacifier                                             | Action
 Adam                | Wingard          |       | The Guest                                                | Action
 Adil El             | Arbi             |       | Bad Boys for Life                                        | Action
 Adrian              | Grunberg         |       | Rambo: Last Blood                                        | Action
 Akira               | Kurosawa         |       | Ran                                                      | Action
 Alan J.             | Pakula           |       | The Devil's Own                                          | Action
 Alan                | Johnson          |       | Solarbabies                                              | Action
 Alan                | Mehrez           |       | Bloodsport 2                                             | Action
 Alan                | Taylor           |       | Thor: The Dark World                                     | Action
 Alan                | Taylor           |       | Terminator Genisys                                       | Action
 Albert              | Hughes           |       | Dead Presidents                                          | Action
 Albert              | Hughes           |       | The Book of Eli                                          | Action
 Albert              | Hughes           |       | Alpha                                                    | Action
 Albert              | Pyun             |       | The Sword and the Sorcerer                               | Action
 Albert              | Pyun             |       | Radioactive Dreams                                       | Action
 Albert              | Pyun             |       | Dangerously Close                                        | Action
 Albert              | Pyun             |       | Cyborg                                                   | Action
 Albert              | Pyun             |       | Kickboxer 2: the Road Back                               | Action
 Albert              | Pyun             |       | Nemesis                                                  | Action
 Alejandro G.        | IÃ±Ã¡rritu       |       | The Revenant                                             | Action
 Aleks               | Alifirenko       | Jr.   | The Robinsons                                            | Action
 Aleksander          | Bach             |       | Hitman: Agent 47                                         | Action
 Alex                | Cox              |       | Repo Man                                                 | Action
