 movie_id | score |  votes  
----------+-------+---------
        1 |   7.3 |   58000
        2 |   5.8 |    1900
        3 |   5.9 |     807
        4 |   5.9 |    1900
        5 |   7.1 |    6100
        6 |   7.4 |    4200
        7 |   7.7 |    7700
        8 |   7.6 |    4300
        9 |   7.6 |    2200
       10 |   7.2 |    4000
       11 |   7.3 |    4400
       12 |   7.6 |    7000
       13 |   6.7 |    3900
       14 |   7.4 |   19000
       15 |   8.4 |  177000
       16 |   6.8 |  101000
       17 |   4.9 |    6000
       18 |   5.4 |    1600
       19 |   4.9 |    6900
       20 |   5.4 |    3700
       21 |   5.1 |    8000
       22 |   4.2 |    3200
       23 |   2.8 |   58000
       24 |   7.4 |  153000
       25 |   8.3 |   17000
       26 |   7.8 |    7100
       27 |   7.8 |   26000
       28 |   7.5 |    9600
       29 |   7.3 |   22000
       30 |   7.0 |   11000
       31 |   5.5 |   51000
       32 |   7.7 |  142000
       33 |   6.4 |   10000
       34 |   6.2 |    1700
       35 |   7.0 |   34000
       36 |   7.1 |   40000
       37 |   6.0 |   17000
       38 |   5.6 |    3600
       39 |   6.5 |    9200
       40 |   6.6 |    8400
       41 |   5.1 |    4700
       42 |   8.1 |    9800
       43 |   3.6 |   12000
       44 |   2.7 |    9500
       45 |   5.1 |     216
       46 |   7.1 |  159000
       47 |   5.7 |   30000
       48 |   6.1 |   70000
       49 |   5.5 |   13000
       50 |   4.2 |   29000
       51 |   7.2 |  337000
       52 |   6.6 |  172000
       53 |   6.9 |  274000
       54 |   6.6 |  249000
       55 |   6.3 |  172000
       56 |   7.8 |  381000
       57 |   7.2 |  130000
       58 |   5.3 |    8200
       59 |   5.8 |   18000
       60 |   6.9 |   36000
       61 |   7.0 |    3700
       62 |   5.7 |   55000
       63 |   6.4 |   97000
       64 |   5.3 |   78000
       65 |   7.3 |  203000
       66 |   5.6 |   35000
       67 |   5.6 |   90000
       68 |   5.5 |   56000
       69 |   6.6 |  122000
       70 |   6.0 |   90000
       71 |   5.9 |   75000
       72 |   5.3 |   26000
       73 |   6.0 |    4100
       74 |   3.6 |    3700
       75 |   6.6 |   92000
